"g","Local","Visitante","h_g","a_g","yg1","yg2","Jornada"
37,"Chicó","Deportivo Pereira",4,13,3,1,"4"
38,"Nacional","Deportivo Cali",6,9,1,1,"4"
39,"Santa Fe","Pasto",18,20,0,2,"4"
40,"Tolima","Millonarios",5,10,1,1,"4"
41,"Huila","Tolima",12,5,0,0,"5"
42,"Envigado","Alianza FC",11,17,0,0,"5"
43,"Medellín","América de Cali",19,16,0,1,"5"
44,"Millonarios","Jaguares FC",10,7,2,1,"5"
45,"Pasto","Junior",20,14,1,0,"5"
46,"Deportivo Pereira","Once Caldas",13,15,3,1,"5"
47,"La Equidad","Santa Fe",8,18,0,1,"5"
48,"Atlético Bucaramanga","Nacional",1,6,1,1,"5"
49,"Deportivo Cali","Rionegro Águilas",9,3,1,1,"5"
50,"Unión Magdalena","Chicó",2,4,0,0,"5"
51,"Rionegro Águilas","Atlético Bucaramanga",3,1,1,0,"6"
52,"Junior","La Equidad",14,8,1,0,"6"
53,"Jaguares FC","Deportivo Pereira",7,13,2,0,"6"
54,"América de Cali","Envigado",16,11,1,0,"6"
55,"Santa Fe","Unión Magdalena",18,2,0,0,"6"
56,"Once Caldas","Millonarios",15,10,1,0,"6"
57,"Tolima","Deportivo Cali",5,9,1,2,"6"
58,"Alianza FC","Medellín",17,19,0,1,"6"
59,"Nacional","Huila",6,12,3,1,"6"
60,"Chicó","Pasto",4,20,1,1,"6"
61,"Atlético Bucaramanga","Once Caldas",1,15,0,1,"7"
62,"La Equidad","Alianza FC",8,17,1,1,"7"
63,"Envigado","Santa Fe",11,18,3,2,"7"
64,"Unión Magdalena","Jaguares FC",2,7,1,1,"7"
65,"Medellín","Rionegro Águilas",19,3,3,0,"7"
66,"Millonarios","Deportivo Cali",10,9,2,0,"7"
67,"Pasto","Nacional",20,6,0,1,"7"
68,"Deportivo Pereira","Tolima",13,5,1,1,"7"
69,"Huila","Chicó",12,4,3,2,"7"
70,"América de Cali","Junior",16,14,2,0,"7"
71,"Jaguares FC","Huila",7,12,1,2,"8"
72,"Deportivo Cali","Atlético Bucaramanga",9,1,1,1,"8"
73,"Nacional","Millonarios",6,10,0,0,"8"
74,"Chicó","Medellín",4,19,2,0,"8"
75,"Rionegro Águilas","Deportivo Pereira",3,13,2,1,"8"
76,"Junior","Envigado",14,11,1,2,"8"
77,"Alianza FC","Unión Magdalena",17,2,2,1,"8"
78,"Once Caldas","Pasto",15,20,0,1,"8"
79,"Tolima","La Equidad",5,8,1,0,"8"
